id,value
id_0,6.800248057246858
id_1,18.147937404700134
id_2,22.88331193816592
id_3,7.728348872339328
id_4,27.05466196142237
id_5,22.23658055178434
id_6,23.805175884239407
id_7,30.452241371805403
id_8,16.95078000521484
id_9,59.71071756878043
id_10,11.629599578673105
id_11,9.374211157203264
id_12,63.65442179476878
id_13,53.23107434240929
id_14,22.19719871915911
id_15,12.129452567041545
id_16,32.588813423079614
id_17,66.56819724060263
id_18,-0.29879562097303936
id_19,17.195477872653715
id_20,41.61524809583051
id_21,72.09416386162466
id_22,9.434954593997324
id_23,17.626260871667995
id_24,14.755670111559645
id_25,37.520581771157936
id_26,14.686040123439412
id_27,69.97187362706168
id_28,7.294780099701979
id_29,55.448695670231324
id_30,24.380764535079027
id_31,8.462877953160648
id_32,2.5104003277797093
id_33,18.78942337521844
id_34,27.8016965575446
id_35,37.30307679732741
id_36,43.33645688776879
id_37,29.825442058049486
id_38,42.10847990999404
id_39,35.185930030860206
id_40,7.754728332928494
id_41,41.330356496214705
id_42,30.60007041542879
id_43,50.96823372021185
id_44,17.51023715100325
id_45,35.37225637411349
id_46,24.630523841068822
id_47,9.606014711421
id_48,26.79075945845088
id_49,32.237519415225684
id_50,20.109589363350356
id_51,7.958729290568083
id_52,20.514891786870937
id_53,52.70574685607603
id_54,15.86249794930823
id_55,36.64407341045897
id_56,32.77413598753191
id_57,20.703601184402345
id_58,57.380984076156146
id_59,22.67403563949853
id_60,14.34688913998557
id_61,41.88291532231818
id_62,12.554980615990221
id_63,48.44410320401569
id_64,14.345520272441306
id_65,15.103461563602119
id_66,14.497168352016883
id_67,-0.8614799478888593
id_68,43.801176321596316
id_69,29.061611079986548
id_70,20.009948319819486
id_71,41.83886460941005
id_72,60.800378448689514
id_73,5.345209404970123
id_74,16.41653689732781
id_75,3.5272568787800345
id_76,40.77258269919454
id_77,13.971877161770072
id_78,21.544681785189326
id_79,21.076886770062053
id_80,23.99890539296459
id_81,36.07638341112875
id_82,21.679862719281953
id_83,92.3883912915059
id_84,37.255333516038505
id_85,27.96318761716741
id_86,21.93500056267039
id_87,33.80521585621539
id_88,23.44549659347928
id_89,19.853867747586058
id_90,28.787968502191017
id_91,41.485320915461465
id_92,4.718553739961135
id_93,38.93392647462793
id_94,45.946990945474454
id_95,16.387475515390754
id_96,31.69046614887586
id_97,13.066772700696895
id_98,23.500562248316523
id_99,4.635289950531137
id_100,18.18308297447301
id_101,26.35611209035712
id_102,14.102761617864644
id_103,15.884125287783199
id_104,23.949397779643203
id_105,39.66713990377661
id_106,31.494839869514962
id_107,6.34041837805177
id_108,6.00273767269973
id_109,78.35545358533946
id_110,48.139031294396645
id_111,17.078609016529054
id_112,27.801416615354032
id_113,15.21172099565059
id_114,13.556425906273068
id_115,25.007677840209528
id_116,26.6527337739594
id_117,10.443398845138221
id_118,17.53781460196015
id_119,19.44251586102478
id_120,80.70483365525384
id_121,25.70932037561824
id_122,37.38139235054259
id_123,25.31455723433869
id_124,7.368776905436295
id_125,38.421637141212464
id_126,8.994486103046395
id_127,22.025241627298218
id_128,29.06815861122118
id_129,62.807809049570366
id_130,21.718651596594558
id_131,23.162305896676717
